country,age,name_0,name_1,name_2,name_3,name_4, ARM SPAN , HEIGHT , HOBBY , FAVOURITE MOVIE , FAVOURITE GAME , FAVOURITE SONG , SPORTING HERO 
 RSA ,29,Calrin,CURTIS,,,,,,,,,,
 HKG ,27,Chi-fung,AU,,,,,,,,,,
 KOR ,17,Dohyeon,KIM,,,,, 180 ,,,,,
 ESP ,22,Mikel,Asier,LINACISORO,MOLINA,, 180 , 184 ,,,,,
 AUS ,17,Dylan,PARKS,,,,,,,,,,
 BRA ,20,Mateus,RODRIGUES,BELLOTTO,,,,,,,,,
 SWE ,26,Emil,ABRAHAMSSON,,,,,,,,,,
 NED ,20,Paul,BRAND,,,, 190 , 182 ,,,,,
 MEX ,25,José,Alejandro,SAUCEDA,RODRÍGUEZ,,,,,,,,
 KOR ,20,Wonwoo,HAN,,,,, 178 ,,,,,
 MEX ,22,Lucas,PEDROZA,DIAZ,DE,LEÓN,,,,,,,
 ESP ,25,Alejandro,CRESPO,COBOS,,, 194 , 182 ,,,,,
 NED ,24,Mark,BRAND,,,,,,,,,,
 MEX ,33,Franz,Josef,WEBER,,,,,,,,,
 ISR ,21,Amiad,LIPMAN,,,,,,,,,,
 FIN ,31,Axel,LINDFORS,,,,,,,,,,
 IRI ,18,Radin,FOROUGHIAN,,,,,,,,,,
 PER ,27,Diego,LEQUERICA,BUSCAGLIA,,,,,,,,,
 CHI ,20,Christian,WAGNER,,,,,,,,,,
 KOR ,29,Hongil,KIM,,,,,,,,,,
 KOR ,27,Hanwool,KIM,,,,,,,,,,
 DEN ,22,Anton,Young,Hong,NIELSEN,,,,,,,,
 CHN ,17,Jinbin,HUANG,,,,,,,,,,
 DEN ,25,Theis,Lindegren,ELFENBEIN,,,,,,,,,
 BRA ,22,Pedro,AVELAR,,,,,,,,,,
 ECU ,24,Carlos,GRANJA,,,, 172 , 175 ,,,,,
 ITA ,20,Pietro,VIDI,,,,,,,,,,
 IRL ,23,Mark,SCANLON,,,,,,,,,,
 MRI ,21,Terence,SARAMANDIF,,,,, 176 ,,,,, Doriane SARAMANDIF 
 HUN ,19,Nimród,Sebestyén,TUSNÁDY,,,,,,,,,
 MEX ,24,Jorge,LOREDO,DURAN,,,,,,,,,
 IRI ,30,Hossein,FAMILROHANI,,,, 183 , 173 ,,, Fifa , Bohemian rhapsody , Cristiano Ronaldo 
 CAN ,22,Zach,RICHARDSON,,,,,,,,,,
 MAC ,30,Wan,Tong,LOK,,,,,,,,,
 NOR ,23,Leo,Ketil,BØE,,,,,,,,,
 UKR ,21,Leonid,OSADCHYI,,,,,,,,,,
 AUS ,26,Liam,HEALY,,,,,,,,,,
 AUS ,24,Ben,ABEL,,,,,,,,,,
 SVK ,22,Peter,KURIC,,,,, 175 ,,,,,
 SWE ,25,Fredrik,SERLACHIUS,,,,,,,,,,
 IND ,20,Chingkheinganba,MAIBAM,,,,,,,,,,
 POL ,21,Jakub,ZIETEK,,,,, 175 ,,,,,
