,Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Semifinal,Final,Category,Quali_Tops,Quali_Zones,Quali_Atempts_Tops,Quali_Attempts_Zones,semi_Tops,semi_Zones,semi_Atempts_Tops,semi_Attempts_Zones,Finals_Tops,Finals_Zones,Final_Atempts_Tops,Final_Attempts_Zones
275,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Max,JØRGENSEN,DEN,259.0,38,5T6z914,,,boulder,5,6,9,4,0,0,0,0,0,0,0,0
276,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Amiad,LIFMAN,ISR,275.0,39,5T5z86,,,boulder,5,5,8,6,0,0,0,0,0,0,0,0
277,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Joseph,WALMSLEY,GBR,267.0,40,4T4z1010,,,boulder,4,4,1,10,0,0,0,0,0,0,0,0
278,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Tomáš,LUKÁŠEK,CZE,257.0,41,4T4z149,,,boulder,4,4,1,9,0,0,0,0,0,0,0,0
279,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Frederik,VIBERG,DEN,258.0,42,3T4z88,,,boulder,3,4,8,8,0,0,0,0,0,0,0,0
280,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Carl-William,SANDBERG,SWE,293.0,43,3T3z75,,,boulder,3,3,7,5,0,0,0,0,0,0,0,0
281,European Youth Championships (B) - Brixen (ITA) 2019,20  - 22 September 2019,Theofanis Ermis,THEOCHAROPOULOS,GRE,270.0,44,1T2z52,,,boulder,1,2,5,2,0,0,0,0,0,0,0,0
282,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Urska,REPUSIC,SLO,63.0,1,3T4z68,3T4z67,3T4z45,ldering,3,4,6,8,3,4,6,7,3,4,4,5
283,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Vita,LUKAN,SLO,61.0,2,5T5z118,3T4z57,3T4z68,ldering,5,5,1,8,3,4,5,7,3,4,6,8
284,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Irina,KUZMENKO,RUS,68.0,3,5T5z1513,3T4z510,3T4z817,ldering,5,5,1,13,3,4,5,0,3,4,8,7
285,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Alma,BESTVATER,GER,67.0,4,4T4z84,3T4z46,3T3z33,ldering,4,4,8,4,3,4,4,6,3,3,3,3
286,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Yael,TAUB,ISR,90.0,5,2T5z410,3T4z56,2T3z46,ldering,2,5,4,0,3,4,5,6,2,3,4,6
287,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Naile,MEIGNAN,FRA,69.0,6,3T4z55,4T4z64,1T4z17,ldering,3,4,5,5,4,4,6,4,1,4,1,7
288,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Camilla,MORONI,ITA,64.0,7,3T4z89,3T4z1617,,ldering,3,4,8,9,3,4,1,17,0,0,0,0
289,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Johanna,FÄRBER,AUT,62.0,8,3T5z57,2T4z29,,ldering,3,5,5,7,2,4,2,9,0,0,0,0
290,European Championship (B) - Zakopane (POL) 2019,5  - 7 September 2019,Flavy,COHAUT,FRA,70.0,9,3T5z610,2T4z37,,ldering,3,5,6,0,2,4,3,7,0,0,0,0
